_id,beerName,abv,ibu,style,ounces,breweryId,
2337,Charlie's Rye IPA,0.06,,American IPA,16,146,
410,River Pig Pale Ale,0.054,,American Pale Ale (APA),16,542,
409,Oaky's Oatmeal Stout,0.047,,Oatmeal Stout,16,542,
1294,Angry Orchard Apple Ginger,0.05,,Cider,16,434,
1293,Angry Orchard Crisp Apple,0.05,,Cider,16,434,
1292,Angry Orchard Crisp Apple,0.05,,Cider,12,434,
2207,Golden One,0.068,,Belgian Pale Ale,12,193,
2040,Arjuna,0.06,,Witbier,12,193,
2039,Uroboros,0.085,,American Stout,12,193,
2511,Long Leaf,0.071,75,American IPA,16,69,
2510,Honey Badger Blonde,0.047,19,American Blonde Ale,16,69,
2509,Porter (a/k/a Black Gold Porter),0.06,23,American Porter,16,69,
413,Sky High Rye,0.06,55,American Pale Ale (APA),12,541,
390,Whitsun,0.062,17,American Pale Wheat Ale,12,541,
735,On-On Ale (2008),0.052,,American Pale Ale (APA),12,513,
1333,Quakertown Stout,0.092,50,American Double / Imperial Stout,12,426,
1332,Greenbelt Farmhouse Ale,0.051,20,Saison / Farmhouse Ale,12,426,
1172,Mo's Gose,0.052,10,Gose,16,461,
1322,Green Bullet Organic India Pale Ale,0.07,45,American IPA,16,429,
550,Rocket Girl,0.032,27,Kölsch,12,528,
429,Ninja Porter,0.053,26,American Porter,12,528,
428,Shiva IPA,0.06,69,American IPA,12,528,
1640,Aslan Kölsch,0.048,,Kölsch,16,353,
1639,Aslan IPA,0.077,,American IPA,16,353,
1638,Aslan Amber,0.077,,American Amber / Red Ale,16,353,
597,This Season's Blonde,0.056,27,American Blonde Ale,12,523,
596,Independence Pass Ale,0.07,67,American IPA,12,523,
1580,Trolley Stop Stout,0.057,40,American Stout,12,374,
980,Bitter Bitch Imperial IPA,0.082,138,American Double / Imperial IPA,12,374,
979,Poop Deck Porter,0.062,35,American Porter,12,374,
978,Old Red Beard Amber Ale,0.06,35,American Amber / Red Ale,12,374,
2503,Hop A-Peel,0.075,115,American Double / Imperial IPA,16,72,
2502,Vanilla Java Porter,0.055,12,American Porter,16,72,
2495,Michelada,0.052,,Fruit / Vegetable Beer,16,72,
534,Dirty Blonde Ale,0.045,8,American Blonde Ale,12,72,
528,Grand Circus IPA,0.05,62,American IPA,12,72,
527,Atwater's Lager,0.05,12,Munich Helles Lager,12,72,
1409,Heavy Machinery IPA Series #1: Heavy Fist,0.07,,American Black Ale,16,413,
343,Fire Eagle IPA,0.062,,American IPA,12,413,
342,Peacemaker,0.051,,American Pale Ale (APA),12,413,
341,Pearl-Snap,0.053,,German Pilsener,12,413,
340,Black Thunder,0.052,,Schwarzbier,12,413,
2589,Raja,0.08,,American Double / Imperial IPA,12,37,
2546,Perzik Saison,0.064,,Saison / Farmhouse Ale,12,37,
146,Avery Joe’s Premium American Pilsner,0.047,42,German Pilsener,12,37,
108,White Rascal,0.056,10,Witbier,12,37,
107,Avery India Pale Ale,0.063,69,American IPA,12,37,
106,Ellie’s Brown Ale,0.055,17,American Brown Ale,12,37,
1620,Pumpkin Beast,0.062,17,Pumpkin Ale,12,360,
1579,OktoberBeast,0.072,22,Märzen / Oktoberfest,12,360,
1228,Mad Beach,0.048,23,American Pale Wheat Ale,12,360,
705,Hog Wild India Pale Ale,0.067,,American IPA,12,360,
704,Devils Tramping Ground Tripel,0.092,5,Tripel,12,360,
702,Hot Rod Red,0.061,41,American Amber / Red Ale,12,360,
2058,Palate Mallet,0.086,,American Double / Imperial IPA,12,235,
1483,Back East Porter,0.06,,American Porter,12,235,
1426,Back East Golden Ale,0.049,,American Blonde Ale,12,235,
1132,Misty Mountain IPA,0.07,,American IPA,12,235,
1131,Back East Ale,0.05,,American Amber / Red Ale,12,235,
1876,Truck Stop Honey Brown Ale,0.06,,English Brown Ale,12,286,
1875,Naked Pig Pale Ale,0.06,43,American Pale Ale (APA),12,286,
966,Topcutter India Pale Ale,0.068,70,American IPA,12,483,
965,Field 41 Pale Ale,0.044,38,American Pale Ale (APA),12,483,
2593,Grapefruit Sculpin,0.07,,American IPA,12,34,
2105,Even Keel,0.038,40,American IPA,12,34,
1401,Ballast Point Pale Ale,0.052,23,Kölsch,12,34,
1400,Big Eye India Pale Ale,0.07,75,American IPA,12,34,
1019,Longfin Lager,0.046,,Munich Helles Lager,12,34,
1018,Sculpin IPA,0.07,70,American IPA,12,34,
1776,All Nighter Ale,0.045,,Extra Special / Strong Bitter (ESB),12,318,
1644,Banner American Rye,0.045,20,Rye Beer,12,318,
1643,Banner American Ale,0.035,45,American Amber / Red Ale,12,318,
2618,Thai.p.a,0.07,46,American IPA,16,20,
2005,Barrio Blanco,0.06,60,American IPA,12,251,
1343,Barrio Tucson Blonde,0.045,,American Blonde Ale,12,251,
2404,Hop in the ‘Pool Helles,0.049,22,American Pilsner,12,116,
2323,Ultra Gnar Gnar IPA,0.067,60,American IPA,12,116,
2189,In-Tents India Pale Lager,0.068,62,American Pale Lager,12,116,
2188,Lost Meridian Wit,0.05,20,Witbier,12,116,
2187,Celestial Meridian Cascadian Dark Lager,0.051,45,Euro Dark Lager,12,116,
1966,Wagon Party,0.054,55,California Common / Steam Beer,12,258,
1965,Sky-Five,0.067,70,American IPA,12,258,
1964,Stargrazer,0.05,28,Schwarzbier,12,258,
1963,Wonderstuff,0.054,48,German Pilsener,12,258,
1855,Tarnation California-Style Lager,0.053,,California Common / Steam Beer,12,292,
1778,On the Count of 3 (2015),0.07,42,Hefeweizen,16,292,
1209,Summer Swelter,0.047,,American Pale Wheat Ale,12,292,
954,Phantom Punch Winter Stout,0.068,,Foreign / Export Stout,12,292,
910,Hayride Autumn Ale,0.066,,Rye Beer,12,292,
707,Celsius Summer Ale (2012),0.047,,American Pale Wheat Ale,12,292,
533,Amber Road,0.055,35,American Amber / Red Ale,12,292,
183,Pamola Xtra Pale Ale,0.049,28,American Pale Ale (APA),12,292,
182,Stowaway IPA,0.069,69,American IPA,12,292,
1806,Hoptopus Double IPA,0.088,108,American Double / Imperial IPA,16,306,
2435,Watermelon Ale,0.05,10,Fruit / Vegetable Beer,12,103,
2423,Fenway American Pale Ale,0.058,45,American Pale Ale (APA),12,103,
2420,Back Bay IPA,0.068,85,American IPA,12,103,
2419,Bunker Hill Blueberry Ale ,0.048,16,Other,12,103,
2494,Oberon,0.058,,American Pale Wheat Ale,12,76,
2325,Smitten,0.06,,Rye Beer,16,76,
2022,Winter White,0.05,,Witbier,16,76,
1989,Oberon,0.058,,American Pale Wheat Ale,16,76,
1988,Two Hearted,0.07,,American IPA,16,76,
1955,Best Brown,0.058,,American Brown Ale,16,76,
2558,Moar,0.044,44,English India Pale Ale (IPA),12,53,
2557,Uber Lupin Schwarz IPA,0.083,,American Double / Imperial IPA,16,53,
2556,Nordic Blonde,0.057,27,American Blonde Ale,12,53,
2496,Cold Press,0.06,,American Black Ale,12,75,
2410,Harness the Winter,0.072,87,American IPA,12,75,
1902,14° ESB ,0.056,32,Extra Special / Strong Bitter (ESB),12,75,
1901,Bent Hop Golden IPA,0.062,68,American IPA,12,75,
1261,Bent Paddle Black Ale,0.06,34,American Black Ale,12,75,
1253,Venture Pils,0.05,38,German Pilsener,12,75,
1900,Lost Sailor IPA,0.055,40,English India Pale Ale (IPA),12,278,
1317,Steel Rail Extra Pale Ale,0.053,20,American Pale Ale (APA),12,278,
1158,La Frontera Premium IPA,0.078,,American IPA,12,463,
1157,Tejas Lager,0.047,,Czech Pilsener,12,463,
1156,Number 22 Porter,0.064,,American Porter,12,463,
1155,Big Bend Hefeweizen,0.056,,Hefeweizen,12,463,
1154,Terlingua Gold,0.06,,American Blonde Ale,12,463,
2104,Aprè Shred,0.081,17,American Strong Ale,16,220,
1762,Hemlock Double IPA,0.095,104,American Double / Imperial IPA,12,220,
1422,West Portal Colorado Common Summer Ale,0.041,,California Common / Steam Beer,16,220,
1067,Disconnected Red,0.067,85,American Amber / Red Ale,16,220,
1003,Big Elm IPA,0.07,,American IPA,12,477,
1002,Gerry Dog Stout,0.065,,American Stout,12,477,
1001,413 Farmhouse Ale,0.06,,Saison / Farmhouse Ale,12,477,
2639,Dark Star,0.08,54,American Stout,16,8,
2469,Ryecoe,0.062,,American IPA,16,8,
2586,Blueberry Blonde,0.06,,Fruit / Vegetable Beer,12,40,
2585,Galaxy IPA,0.075,60,American IPA,16,40,
643,Big River Pilsner,0.05,32,Czech Pilsener,12,519,
632,House Brand IPA,0.06,55,American IPA,12,519,
1714,Big Sky IPA,0.062,65,American IPA,12,336,
1713,Scape Goat Pale Ale,0.05,40,English Pale Ale,12,336,
1712,Montana Trout Slayer Ale,0.05,35,American Pale Wheat Ale,12,336,
1711,Moose Drool Brown Ale,0.051,26,American Brown Ale,12,336,
1456,Powder Hound Winter Ale,0.072,60,English Strong Ale,12,336,
767,Moose Drool Brown Ale (2011),0.051,26,American Brown Ale,12,336,
766,Montana Trout Slayer Ale (2012),0.05,35,American Pale Wheat Ale,12,336,
579,Big Sky IPA (2012),0.062,65,American IPA,12,336,
168,Summer Honey,0.047,,American Blonde Ale,12,336,
159,Scape Goat Pale Ale (2010),0.05,40,English Pale Ale,12,336,
35,Montana Trout Slayer Ale (2009),0.05,35,American Pale Wheat Ale,12,336,
34,Moose Drool Brown Ale (2009),0.051,26,American Brown Ale,12,336,
2096,Arcus IPA,0.069,81,American IPA,12,221,
2095,Wavemaker,0.058,38,American Amber / Red Ale,12,221,
1257,Jack Pine Savage,0.053,43,American Pale Ale (APA),16,444,
1256,Forest Fire Imperial Smoked Rye,0.099,85,Rye Beer,16,444,
1255,Bad Axe Imperial IPA,0.098,76,American Double / Imperial IPA,16,444,
986,Morning Wood,0.055,35,Oatmeal Stout,16,444,
985,Bark Bite IPA,0.066,50,American IPA,16,444,
2508,Jalapeno Pale Ale,0.055,45,American Pale Ale (APA),16,70,
1441,Blown Out Brown,0.052,,American Brown Ale,12,407,
1413,Single Hop Ale,0.063,,American Pale Ale (APA),12,407,
1411,Sawtooth Ale,0.054,,American Blonde Ale,12,407,
2620,Saucy Intruder,0.072,75,Rye Beer,16,18,
2412,Deception,0.045,16,American Blonde Ale,12,112,
1898,Blackmarket Rye IPA,0.075,35,American IPA,12,112,
1897,Black Market Hefeweizen,0.05,8,Hefeweizen,12,112,
1896,Aftermath Pale Ale,0.058,44,American Pale Ale (APA),12,112,
1850,American India Red Ale,0.071,83,American Strong Ale,12,294,
1849,American Red Porter,0.071,45,American Porter,12,294,
1848,American Red Saison,0.078,34,Saison / Farmhouse Ale,12,294,
1847,Colorado Red Ale,0.066,44,American Amber / Red Ale,12,294,
2485,Saddle Bronc Brown Ale,0.048,16,American Brown Ale,12,79,
2484,Bomber Mountain Amber Ale,0.046,20,American Amber / Red Ale,12,79,
2449,Flying Sailor,0.073,,Rye Beer,12,95,
2634,Nordskye ,0.048,47,American IPA,12,12,
2153,North Third Stout,0.06,30,Foreign / Export Stout,12,12,
1953,Honey Lav,0.052,,American Pale Wheat Ale,12,12,
1496,Coconut Brown Ale,0.068,,American Brown Ale,12,12,
1481,51K IPA,0.07,51,American IPA,12,12,
1480,Grand Rabbits,0.055,,Cream Ale,12,12,
1564,1800 Big Log Wheat (2012),0.05,,American Pale Wheat Ale,12,380,
1541,Double Play Pilsner,,,American Pilsner,12,380,
1321,Brewerhood Brown Ale,0.055,,American Brown Ale,12,380,
1320,Last Call Imperial Amber Ale,0.08,,American Amber / Red Ale,12,380,
1319,Pernicious Double IPA,0.096,,American Double / Imperial IPA,12,380,
1303,6-4-3 Double Play Pilsner,0.052,,German Pilsener,12,380,
1025,N Street Drive-In 50th Anniversary IPA,,,American Double / Imperial IPA,12,380,
1012,467 Ethan's Stout,0.05,,American Stout,12,380,
942,1335 Wicked Snout,0.064,,Saison / Farmhouse Ale,12,380,
937,543 Skull Creek Fresh Hopped Pale Ale,0.045,,American Pale Ale (APA),12,380,
888,1327 Pod's ESB,0.056,37,Extra Special / Strong Bitter (ESB),12,380,
886,1327 Pod's ESB,0.056,37,Extra Special / Strong Bitter (ESB),12,380,
612,1327 Pod's ESB,0.056,37,Extra Special / Strong Bitter (ESB),12,380,
611,834 Happy As Ale,0.046,35,American Pale Ale (APA),12,380,
1372,Yellow Collar,0.059,,Mead,12,422,
1371,Green Collar,0.059,,Mead,12,422,
1812,Quarter Mile Double IPA,0.08,80,American Double / Imperial IPA,12,304,
1547,Full Nelson Pale Ale,0.059,60,American Pale Ale (APA),12,382,
1546,Steel Wheels ESB,0.065,30,Extra Special / Strong Bitter (ESB),12,382,
1545,Blue Mountain Classic Lager,0.053,22,Euro Pale Lager,12,382,
119,Full Nelson Pale Ale (2010),0.059,60,American Pale Ale (APA),12,382,
1408,Kölsch 151,0.049,16,Kölsch,12,414,
2490,Professor Black,,,American Stout,12,77,
2489,Little Boss,,,American Pale Wheat Ale,12,77,
2488,Van Dayum!,,,American Amber / Red Ale,12,77,
2487,Spirit Animal,,,American Pale Ale (APA),12,77,
939,Toxic Sludge,0.07,,American Black Ale,16,489,
692,Blue Point White IPA,0.06,40,American White IPA,12,489,
667,Blue Point Summer Ale,0.044,16,American Blonde Ale,12,489,
665,Toasted Lager,0.055,28,Vienna Lager,12,489,
1607,Bohemian Export Lager,0.06,,Dortmunder / Export Lager,12,364,
1597,Altus Bohemes Altbier,0.053,,Altbier,12,364,
344,Cherny Bock,0.04,,Schwarzbier,12,364,
89,Czech Pilsner,0.05,,Czech Pilsener,12,364,
88,Viennese Lager,0.05,,Vienna Lager,12,364,
1569,Mad Manatee IPA,0.065,,American IPA,12,378,
1568,Killer Whale Cream Ale,0.055,,Cream Ale,12,378,
1188,Duke's Cold Nose Brown Ale,0.06,,American Brown Ale,12,378,
1891,Longhop IPA,0.042,30,American IPA,16,281,
1890,Lucky Buck,0.04,34,Irish Dry Stout,16,281,
577,Bomb Lager (New Recipe),0.051,,Munich Helles Lager,12,525,
513,Bomb Lager (Old Recipe),0.045,27,Munich Helles Lager,12,525,
2422,Firestarter India Pale Ale,0.066,72,American IPA,12,107,
1727,Kilt Dropper Scotch Ale,0.075,22,Scotch Ale / Wee Heavy,16,107,
1614,Wood Splitter Pilsner,0.048,30,Czech Pilsener,16,107,
1613,Gyptoberfest,0.056,26,Märzen / Oktoberfest,12,107,
1549,Farmer Wirtz India Pale Ale,0.07,94,English India Pale Ale (IPA),16,107,
1548,Slow & Steady Golden Ale,0.047,,American Blonde Ale,12,107,
1517,Pink-I Raspberry IPA,0.068,,American IPA,16,107,
1500,Moe's Original Bar B Que 'Bama Brew Golden Ale,0.047,,American Blonde Ale,12,107,
1421,Live Local Golden Ale,0.047,,American Blonde Ale,12,107,
1360,Screaming Eagle Special Ale ESB,0.048,38,Extra Special / Strong Bitter (ESB),12,107,
1184,Dirtbag Dunkel,0.049,,Munich Dunkel Lager,16,107,
1183,Kindler Pale Ale,0.053,45,American Pale Ale (APA),12,107,
1023,Mistress Winter Wheat,0.064,,Winter Warmer,12,107,
998,Tent Pole Vanilla Porter,0.061,,American Porter,16,107,
997,Awry Rye Pale Ale,0.058,,American Pale Ale (APA),12,107,
996,Demshitz Brown Ale,0.058,,American Brown Ale,12,107,
931,Wood Splitter Pilsner (2012),0.048,,Czech Pilsener,12,107,
798,Brush Creek Blonde,0.048,,American Blonde Ale,16,107,
633,Firestarter India Pale Ale,0.066,72,American IPA,16,107,
2062,Noche Dulce,0.071,16,American Porter,16,231,
1830,Porch Rocker,0.045,8,Radler,12,300,
1629,Rebel IPA,0.065,45,American IPA,16,300,
1601,Cold Snap,0.055,,Witbier,12,300,
1427,Samuel Adams Winter Lager,0.056,,Bock,12,300,
1349,Boston Lager,0.049,30,Vienna Lager,16,300,
1310,Boston Lager,0.049,30,Vienna Lager,12,300,
1281,Samuel Adams Octoberfest,0.053,15,Märzen / Oktoberfest,12,300,
1144,Samuel Adams Summer Ale,0.053,7,American Pale Wheat Ale,12,300,
1143,Boston Lager,0.049,30,Vienna Lager,12,300,
1395,Hazed & Infused,0.049,35,American Pale Ale (APA),12,417,
808,Hoopla Pale Ale,0.057,35,American Pale Ale (APA),12,417,
81,Hazed & Infused (2010),0.049,35,American Pale Ale (APA),12,417,
2596,Heavy Lifting,0.062,80,American IPA,12,31,
2300,1492,0.065,,American Pale Ale (APA),12,167,
2299,Mango Ginger,0.058,,American IPA,12,167,
2298,Passenger,0.047,,English Dark Mild Ale,12,167,
2107,Plum St. Porter,0.06,52,American Porter,12,219,
1573,Plum St. Porter,0.057,52,American Porter,12,219,
1289,Bozone HopZone IPA,0.07,80,American IPA,12,219,
1288,Bozone Hefe Weizen,0.06,25,Hefeweizen,12,219,
470,Bozone Select Amber Ale,0.055,,American Amber / Red Ale,12,219,
2167,Evil Owl,0.052,40,American Amber / Red Ale,12,207,
2204,Post Time Kölsch,0.05,,Kölsch,16,195,
1522,Agave Wheat,0.042,9,American Pale Wheat Ale,12,391,
397,SummerBright Ale,0.045,15,American Pale Wheat Ale,12,391,
193,Lucky U IPA,0.062,68,American IPA,12,391,
83,Avalanche Ale,0.054,19,American Amber / Red Ale,12,391,
1802,"You're My Boy, Blue",0.05,,Fruit / Vegetable Beer,12,308,
1801,Last Stop IPA,0.072,60,American IPA,12,308,
1800,Rollin Dirty Red Ale,0.05,21,Irish Red Ale,12,308,
1799,Are Wheat There Yet?,0.055,28,American Pale Wheat Ale,12,308,
2619,Insert Hop Reference,0.058,,American Pale Ale (APA),16,19,
2468,Manitou Amber,0.053,,American Amber / Red Ale,16,85,
2637,Belfort,0.067,,Saison / Farmhouse Ale,16,10,
2636,Star Runner,0.06,,Belgian Pale Ale,16,10,
2598,Tart Side of the Barrel,0.098,,American Double / Imperial Stout,16,10,
2597,Linnaeus Mango IPA,0.06,,American IPA,16,10,
2548,Beasts A'Burnin',0.07,,Rauchbier,16,10,
2542,Verdun,0.077,,Bière de Garde,16,10,
2541,Barrel Aged Triomphe,0.065,,Belgian IPA,16,10,
2504,Cherry Doppelbock,0.065,,Doppelbock,16,10,
2500,Tropical Saison,0.065,,Saison / Farmhouse Ale,16,10,
2499,Beach Patrol,0.065,,Witbier,16,10,
2498,Nuit Serpent,0.05,,Belgian IPA,16,10,
2481,Paris,0.09,,Saison / Farmhouse Ale,16,10,
2476,The Grand Army,0.055,,Belgian IPA,16,10,
2467,Acidulated Trip,0.059,,Saison / Farmhouse Ale,16,10,
2466,Root Stock,0.066,,Rye Beer,16,10,
2465,Mind Games,0.041,,Dunkelweizen,16,10,
2433,Sous Chef,0.082,,Belgian Strong Pale Ale,16,10,
2418,Dubbelicious,0.065,,Dubbel,16,10,
2416,Psychopomp,0.062,,Belgian Dark Ale,16,10,
2382,Fat Paczki,,,Belgian Dark Ale,16,10,
2381,Earth-Like Planets,,,Belgian Pale Ale,16,10,
2290,Ski Patrol,0.061,,Witbier,16,10,
2241,Viking Ice Hole,0.063,,Oatmeal Stout,16,10,
2240,Rye Porter,0.056,,American Porter,16,10,
2137,Wizard Burial Ground,0.099,,Quadrupel (Quad),16,10,
2101,Smoky Wheat,0.051,,Rauchbier,16,10,
2092,BRIPA,0.062,,Belgian IPA,16,10,
2091,Mela,0.062,,Belgian Dark Ale,16,10,
2086,W.I.P.A Snappa,0.053,,Belgian IPA,16,10,
2023,Pepper in the Rye,0.063,,Rye Beer,16,10,
2006,Moe Lasses',0.064,,American Stout,16,10,
1997,Pumpkin Tart,0.07,,Fruit / Vegetable Beer,16,10,
1977,Undertaker,0.067,,Belgian Dark Ale,16,10,
1976,Undertaker (2014),0.067,,Belgian Dark Ale,16,10,
1974,Coq D'Or,0.05,,Belgian Pale Ale,16,10,
1973,North French,0.06,,Bière de Garde,16,10,
1959,Agent a Deux,0.065,,Belgian Dark Ale,16,10,
1958,Belgian Wit,0.045,,Witbier,16,10,
1949,Pothole Stout,0.063,,American Stout,16,10,
1947,Tree Bucket,0.093,,Belgian IPA,16,10,
1785,Le Flaneur Ale,0.073,,American Wild Ale,16,10,
1651,Maize & Blueberry,0.056,,Fruit / Vegetable Beer,16,10,
